resightID,animalID,season,date,area,regionID,markobs,markobspos,markadded,markaddedpos,obssex,obsage,pctmolt,comment,markcomment,dead,observer,entrydate,entry,estimated,shark,unsure ,cookiecutter
226627,20352,2012,1/15/12,BBN,2,YX232,R,NA,NA,F,ad,NA,Huge shark bite wounds several inches deep on back R near tail,NA,0,S. Peterson,1/15/12,S. Peterson,0,Comment Includes 'Shark',0,0
226671,20352,2012,1/14/12,BBN,2,YX2__,R,NA,NA,F,Ad,NA,"huge shark bite on right, gash several inches deep",NA,0,C. Goetsch,1/16/12,C. Goetsch,0,Comment Includes 'Shark',0,0
226791,20352,2012,1/16/12,BBN,2,X232,R,NA,NA,F,ad,NA,shark bite,NA,0,M. Fowler,1/16/12,E. Pickett,0,Comment Includes 'Shark',0,0
226800,20914,2012,1/15/12,NP,3,44,L,NA,NA,F,ad,NA,shark bite on L side face,NA,0,M. Tift,1/17/12,E. Pickett,0,Comment Includes 'Shark',0,0
227155,20352,2012,1/19/12,BBN,2,"X212,X232","R,R",NA,NA,F,ad,NA,bad shark wound around rump; photographed,not legible; lower mark a bit clearer,0,"R. Condit, C. Campagna",1/19/12,R. Condit,0,Comment Includes 'Shark',0,0
227233,20914,2012,1/20/12,NP1,3,44,L,U444,R,F,ad,NA,shark bite R mouth,"R side mark probably won't come out, dye too runny",0,E. Pickett,1/20/12,E. Pickett,0,Comment Includes 'Shark',0,0
227522,20352,2012,1/22/12,BBN,2,YX232,R,NA,NA,F,ad,NA,shark bite,NA,0,M. Peterson,1/24/12,E. Pickett,0,Comment Includes 'Shark',0,0
227581,20352,2012,1/23/12,BBN,2,YX232,NA,NA,NA,F,ad,NA,shark bite,NA,0,M. Fowler,1/24/12,E. Pickett,0,Comment Includes 'Shark',0,0
230363,40529,2012,2/20/12,BBN,2,NA,NA,G5,L,NA,P,NA,with female with large shark scar on left side,NA,0,P. Morris,2/22/12,P. Morris,0,Comment Includes 'Shark',0,0
229637,20352,2012,2/11/12,BBN,2,YX232,R,NA,NA,F,ad,NA,shark scar,NA,0,R. Condit,2/11/12,R. Condit,0,Comment Includes 'Shark',0,0
229010,20352,2012,2/5/12,BBN,2,YX232,NA,NA,NA,F,ad,NA,shark wound,NA,0,R. Condit,2/5/12,R. Condit,0,Comment Includes 'Shark',0,0
